"date","true","true_lag","model","lag","startdt","enddt","h","pred","forecastdate"
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2014-07-01,3,-0.0216824523716455,2014-10-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2014-07-01,4,0.0145058190214455,2014-10-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2014-07-01,5,0.0250294403674156,2014-10-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2014-07-01,6,0.010535363530007,2014-10-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2014-07-01,7,0.0402031036652032,2014-10-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2014-07-01,8,0.0193846831741506,2014-10-01
2015-01-01,-0.0460400225763185,250.873408287695,"Adaptive LASSO",0,1996-01-01,2014-10-01,0,-0.0460400225763185,2015-01-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2014-10-01,1,-0.053371113273898,2015-01-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2014-10-01,2,-0.00195491212153278,2015-01-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2014-10-01,3,0.00449531513298835,2015-01-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2014-10-01,4,0.0329461007301851,2015-01-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2014-10-01,5,0.0280735248644929,2015-01-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2014-10-01,6,0.034328968775109,2015-01-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2014-10-01,7,-0.0605909646555693,2015-01-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2014-10-01,8,-0.0371448873788562,2015-01-01
2015-04-01,-0.117059876024648,339.784295186006,"Adaptive LASSO",0,1996-01-01,2015-01-01,0,-0.117059876024648,2015-04-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2015-01-01,1,-0.132059709026106,2015-04-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2015-01-01,2,-0.0623393216875782,2015-04-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2015-01-01,3,-0.00407508241955945,2015-04-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2015-01-01,4,0.0476279150869234,2015-04-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2015-01-01,5,0.0498456437114849,2015-04-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2015-01-01,6,0.144912504430929,2015-04-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2015-01-01,7,0.113469423973581,2015-04-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2015-01-01,8,0.159727250972944,2015-04-01
2015-07-01,-0.146551896162042,382.933770855294,"Adaptive LASSO",0,1996-01-01,2015-04-01,0,-0.146551896162042,2015-07-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2015-04-01,1,-0.106206807829042,2015-07-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2015-04-01,2,-0.0426008038875312,2015-07-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2015-04-01,3,-0.0284317545491003,2015-07-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2015-04-01,4,0.0366284707693922,2015-07-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2015-04-01,5,0.019633699636381,2015-07-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2015-04-01,6,0.0537489356608505,2015-07-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2015-04-01,7,0.110523584586854,2015-07-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2015-04-01,8,0.0913612154210879,2015-07-01
2015-10-01,-0.1179975823959,599.153999604791,"Adaptive LASSO",0,1996-01-01,2015-07-01,0,-0.1179975823959,2015-10-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2015-07-01,1,-0.101362375219912,2015-10-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2015-07-01,2,-0.072949618237879,2015-10-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2015-07-01,3,-0.0150550740515656,2015-10-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2015-07-01,4,0.049770657358887,2015-10-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2015-07-01,5,0.036790246997457,2015-10-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2015-07-01,6,0.0650603492617034,2015-10-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2015-07-01,7,0.0634600650687807,2015-10-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2015-07-01,8,0.0573626241850569,2015-10-01
2016-01-01,-0.0990419548744283,239.585043109993,"Adaptive LASSO",0,1996-01-01,2015-10-01,0,-0.0990419548744283,2016-01-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2015-10-01,1,-0.0543087160568435,2016-01-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2015-10-01,2,-0.0220354658760678,2016-01-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2015-10-01,3,0.0114756943426362,2016-01-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2015-10-01,4,0.0531620251806597,2016-01-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2015-10-01,5,0.0386045280054564,2016-01-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2015-10-01,6,0.0610998399316372,2016-01-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2015-10-01,7,0.0592633242074018,2016-01-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2015-10-01,8,0.0342611167501338,2016-01-01
2016-04-01,-0.00865417594314087,302.248979857756,"Adaptive LASSO",0,1996-01-01,2016-01-01,0,-0.00865417594314087,2016-04-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2016-01-01,1,0.0035132708474881,2016-04-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2016-01-01,2,0.0118344895368881,2016-04-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2016-01-01,3,0.0323499237325321,2016-04-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2016-01-01,4,0.0498031283615428,2016-04-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2016-01-01,5,0.0501046529323381,2016-04-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2016-01-01,6,-0.0227495413217022,2016-04-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2016-01-01,7,-0.000432779034286501,2016-04-01
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2016-01-01,8,0.0206147187523027,2016-04-01
2016-07-01,0.0165646440487679,330.732587470375,"Adaptive LASSO",0,1996-01-01,2016-04-01,0,0.0165646440487679,2016-07-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2016-04-01,1,-0.000902768427203743,2016-07-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2016-04-01,2,0.00269149717411458,2016-07-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2016-04-01,3,0.0343405459014195,2016-07-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2016-04-01,4,0.0644881631267513,2016-07-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2016-04-01,5,0.0466407199002875,2016-07-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2016-04-01,6,0.00674717472277415,2016-07-01
