Date,Open,Max,Min,Close,"Trading Volume, USD","Market Capitalization, USD",
13.12.2017,1143.50,1149.46,1137.91,1141.50,623471714,166562153416,
12.12.2017,1149.04,1155.03,1145.27,1149.88,552073090,167785348385,
11.12.2017,1120.62,1144.35,1120.62,1144.35,494689126,166978031300,
08.12.2017,1121.13,1126.64,1114.91,1119.54,388953333,163358320769,
07.12.2017,1128.20,1128.20,1117.27,1119.51,482401835,163353822503,
06.12.2017,1132.08,1133.01,1123.40,1131.38,408617699,165085835376,
05.12.2017,1134.55,1135.10,1128.54,1134.25,430477352,165504522201,
04.12.2017,1125.86,1136.45,1113.04,1133.87,537978597,165449365790,
01.12.2017,1133.41,1135.25,1124.48,1133.33,550990718,165370675225,
30.11.2017,1140.42,1143.83,1126.53,1131.56,1336855682,165111997847,
29.11.2017,1159.59,1161.84,1141.64,1144.68,536526413,167026065260,
28.11.2017,1155.11,1160.65,1148.07,1159.41,538927362,169176587326,
27.11.2017,1165.15,1170.46,1157.89,1160.56,423776708,169344355231,
24.11.2017,1158.09,1166.85,1153.37,1166.09,533271691,170150490208,
23.11.2017,1163.10,1163.97,1155.34,1158.62,524833985,169060370235,
22.11.2017,1148.73,1159.21,1148.73,1159.11,571214765,169132722495,
21.11.2017,1131.96,1147.61,1131.73,1147.61,852868073,167454766713,
20.11.2017,1137.36,1138.77,1124.89,1128.72,440745510,164697936060,
17.11.2017,1127.37,1135.70,1124.14,1132.45,575401258,165241801056,
16.11.2017,1117.27,1128.93,1109.72,1126.52,944410214,164376352338,
15.11.2017,1129.65,1130.97,1116.47,1116.53,889242388,162919820924,
14.11.2017,1149.50,1152.26,1136.86,1136.86,782457432,165885964445,
13.11.2017,1154.41,1167.73,1148.72,1148.79,638791610,167626182687,
10.11.2017,1160.76,1164.76,1154.82,1156.74,1051590587,168787113805,
09.11.2017,1149.40,1161.38,1147.22,1161.38,1038383182,169464133993,
08.11.2017,1143.77,1156.11,1137.58,1150.36,827917839,167854966488,
07.11.2017,1115.89,1152.75,1115.89,1146.98,1286490853,167362776891,
03.11.2017,1122.89,1130.42,1107.65,1109.38,540340137,161876273838,
02.11.2017,1124.58,1126.61,1116.00,1118.66,560232798,163229474195,
01.11.2017,1118.34,1132.56,1117.12,1126.43,619601241,164363515935,
31.10.2017,1122.74,1126.18,1113.41,1113.41,488908373,162464534113,
30.10.2017,1122.69,1132.86,1120.14,1124.05,448309171,164015865834,
27.10.2017,1116.40,1119.91,1105.50,1118.62,566066239,163223650230,
26.10.2017,1117.97,1120.48,1111.34,1118.19,436921080,163160827334,
25.10.2017,1127.59,1133.09,1118.13,1118.13,524961702,163151994279,
24.10.2017,1129.89,1132.18,1125.93,1127.03,461168424,164450913916,
23.10.2017,1136.13,1138.70,1129.71,1131.08,444493957,165042209073,
20.10.2017,1142.02,1143.48,1131.72,1134.45,554382964,165534176038,
19.10.2017,1148.78,1151.39,1135.24,1138.64,506564281,166144656605,
18.10.2017,1149.85,1154.11,1145.95,1147.79,543276378,167480737615,
17.10.2017,1157.25,1157.69,1144.18,1146.62,498674375,167310361337,
16.10.2017,1158.31,1161.82,1154.31,1158.24,483739918,169005664500,
13.10.2017,1144.00,1156.64,1143.84,1156.64,484759531,168772064085,
12.10.2017,1144.65,1147.61,1139.70,1143.96,445938621,166921730282,
11.10.2017,1134.16,1144.38,1133.70,1143.32,587635090,166828431824,
10.10.2017,1131.84,1139.38,1130.38,1134.86,359940710,165593118938,
09.10.2017,1133.75,1135.34,1126.27,1132.45,374420910,165241429868,
06.10.2017,1140.90,1146.37,1132.13,1134.30,507622023,165511526566,
05.10.2017,1134.15,1144.73,1133.12,1144.05,542510514,166934968905,
04.10.2017,1129.46,1137.55,1127.38,1137.14,392969154,165926445739,
03.10.2017,1129.82,1133.82,1125.48,1129.90,505528111,164870442461,
02.10.2017,1138.21,1139.31,1127.80,1128.69,410488023,164693344762,
29.09.2017,1126.72,1137.54,1122.45,1136.75,449575289,165869388014,
28.09.2017,1126.28,1131.34,1117.05,1125.56,440540822,164236429188,
27.09.2017,1128.99,1131.36,1120.62,1126.94,509916292,164438687787,
26.09.2017,1133.57,1144.12,1127.26,1127.26,703977640,164484426477,
25.09.2017,1123.83,1135.33,1119.20,1130.54,625000428,164963678553,
22.09.2017,1120.25,1125.04,1117.59,1123.24,487914430,163897747276,
21.09.2017,1114.84,1122.01,1110.21,1120.13,570532393,164795937381,
20.09.2017,1110.33,1122.43,1108.31,1122.43,612958939,165134005770,
19.09.2017,1115.13,1117.56,1107.79,1108.71,497201292,163115837582,
18.09.2017,1123.49,1127.98,1116.28,1119.14,479499103,164649964937,
