"Дата; Цена; Откр; Макс; Мин; Изм"
"Дек. '08; 22.000; 22.000; 22.000; 22.000; -1.48"
"Нояб. '08; 22.330; 22.330; 22.330; 22.330; 31.51"
"Окт. '08; 16.980; 16.980; 16.980; 16.980; 86.39"
"Сент. '08; 9.110; 9.110; 9.110; 9.110; 15.61"
"Авг. '08; 7.880; 7.880; 7.880; 7.880; 26.89"
"Июль '08; 6.210; 6.210; 6.210; 6.210; 4.02"
"Июнь '08; 5.970; 5.970; 5.970; 5.970; -4.63"
"Май '08; 6.260; 6.260; 6.260; 6.260; -9.28"
"Апр. '08; 6.900; 6.900; 6.900; 6.900; 21.05"
"Март '08; 5.700; 5.700; 5.700; 5.700; -8.06"
"Февр. '08; 6.200; 6.200; 6.200; 6.200; 17.42"
"Янв. '08; 5.280; 5.280; 5.280; 5.280; -4.86"
"Дек. '07; 5.550; 5.550; 5.550; 5.550; -13.15"
"Нояб. '07; 6.390; 6.390; 6.390; 6.390; -8.71"
"Окт. '07; 7.000; 7.000; 7.000; 7.000; -13.79"
"Сент. '07; 8.120; 8.120; 8.120; 8.120; 18.02"
"Авг. '07; 6.880; 6.880; 6.880; 6.880; 37.05"
"Июль '07; 5.020; 5.020; 5.020; 5.020; 13.83"
"Июнь '07; 4.410; 4.410; 4.410; 4.410; -4.75"
"Май '07; 4.630; 4.630; 4.630; 4.630; -12.97"
"Апр. '07; 5.320; 5.320; 5.320; 5.320; -7.16"
"Март '07; 5.730; 5.730; 5.730; 5.730; 4.75"
"Февр. '07; 5.470; 5.470; 5.470; 5.470; -0.73"
"Янв. '07; 5.510; 5.510; 5.510; 5.510; 15.27"
"Дек. '06; 4.780; 4.780; 4.780; 4.780; -8.95"
"Нояб. '06; 5.250; 5.250; 5.250; 5.250; 5.21"
"Окт. '06; 4.990; 4.990; 4.990; 4.990; 43.80"
"Сент. '06; 3.470; 3.470; 3.470; 3.470; 11.22"
"Авг. '06; 3.120; 3.120; 3.120; 3.120; -17.24"
"Июль '06; 3.770; 3.770; 3.770; 3.770; -13.33"
"Июнь '06; 4.350; 4.350; 4.350; 4.350; 7.41"
"Май '06; 4.050; 4.050; 4.050; 4.050; -26.36"
"Апр. '06; 5.500; 5.500; 5.500; 5.500; 11.11"
"Март '06; 4.950; 4.950; 4.950; 4.950; -1.00"
"Февр. '06; 5.000; 5.000; 5.000; 5.000; 9.89"
"Янв. '06; 4.550; 4.550; 4.550; 4.550; -9.00"
"Дек. '05; 5.000; 5.000; 5.000; 5.000; -2.91"
"Нояб. '05; 5.150; 5.150; 5.150; 5.150; 27.16"
"Окт. '05; 4.050; 4.050; 4.050; 4.050; 0.00"
"Сент. '05; 4.050; 4.050; 4.050; 4.050; 0.00"
"Авг. '05; 4.050; 4.050; 4.050; 4.050; -10.00"
"Июль '05; 4.500; 4.500; 4.500; 4.500; 0.00"
"Июнь '05; 4.500; 4.500; 4.500; 4.500; 28.57"
"Май '05; 3.500; 3.500; 3.500; 3.500; 7.69"
"Апр. '05; 3.250; 3.250; 3.250; 3.250; 10.17"
"Март '05; 2.950; 2.950; 2.950; 2.950; 31.11"
"Февр. '05; 2.250; 2.250; 2.250; 2.250; -25.00"
"Янв. '05; 3.000; 3.000; 3.000; 3.000; -25.00"
"Дек. '04; 4.000; 4.000; 4.000; 4.000; 166.67"
"Нояб. '04; 1.500; 1.500; 1.500; 1.500; -40.00"
"Окт. '04; 2.500; 2.500; 2.500; 2.500; -58.33"
"Сент. '04; 6.000; 6.000; 6.000; 6.000; 9.09"
"Авг. '04; 5.500; 5.500; 5.500; 5.500; 4.76"
"Июль '04; 5.250; 5.250; 5.250; 5.250; -38.24"
"Июнь '04; 8.500; 8.500; 8.500; 8.500; 54.55"
"Май '04; 5.500; 5.500; 5.500; 5.500; 10.00"
"Апр. '04; 5.000; 5.000; 5.000; 5.000; 35.14"
"Март '04; 3.700; 3.700; 3.700; 3.700; 146.67"
"Февр. '04; 1.500; 1.500; 1.500; 1.500; -25.00"
"Янв. '04; 2.000; 2.000; 2.000; 2.000; -33.33"
"Дек. '03; 3.000; 3.000; 3.000; 3.000; -50.00"
"Нояб. '03; 6.000; 6.000; 6.000; 6.000; -14.29"
"Окт. '03; 7.000; 7.000; 7.000; 7.000; 27.27"
"Сент. '03; 5.500; 5.500; 5.500; 5.500; 29.41"
"Авг. '03; 4.250; 4.250; 4.250; 4.250; 6.25"
"Июль '03; 4.000; 4.000; 4.000; 4.000; 33.33"
"Июнь '03; 3.000; 3.000; 3.000; 3.000; 0.00"
"Май '03; 3.000; 3.000; 3.000; 3.000; -14.29"
"Апр. '03; 3.500; 3.500; 3.500; 3.500; -46.15"
"Март '03; 6.500; 6.500; 6.500; 6.500; -13.33"
"Февр. '03; 7.500; 7.500; 7.500; 7.500; -25.00"
"Янв. '03; 10.000; 10.000; 10.000; 10.000; 0.00"
"Дек. '02; 10.000; 10.000; 10.000; 10.000; -13.04"
"Нояб. '02; 11.500; 11.500; 11.500; 11.500; -17.86"
"Окт. '02; 14.000; 14.000; 14.000; 14.000; 16.67"
"Сент. '02; 12.000; 12.000; 12.000; 12.000; -7.69"
"Авг. '02; 13.000; 13.000; 13.000; 13.000; 18.18"
"Июль '02; 11.000; 11.000; 11.000; 11.000; -24.14"
"Июнь '02; 14.500; 14.500; 14.500; 14.500; 3.57"
"Май '02; 14.000; 14.000; 14.000; 14.000; 0.00"
"Апр. '02; 14.000; 14.000; 14.000; 14.000; 0.00"
"Март '02; 14.000; 14.000; 14.000; 14.000; 0.00"
"Февр. '02; 14.000; 14.000; 14.000; 14.000; -6.67"
"Янв. '02; 15.000; 15.000; 15.000; 15.000; 0.00"
"Дек. '01; 15.000; 15.000; 15.000; 15.000; 25.00"
"Нояб. '01; 12.000; 12.000; 12.000; 12.000; -7.69"
"Окт. '01; 13.000; 13.000; 13.000; 13.000; 8.33"
"Сент. '01; 12.000; 12.000; 12.000; 12.000; 0.00"
"Авг. '01; 12.000; 12.000; 12.000; 12.000; -20.00"
"Июль '01; 15.000; 15.000; 15.000; 15.000; -11.76"
"Июнь '01; 17.000; 17.000; 17.000; 17.000; 28.30"
"Май '01; 13.250; 13.250; 13.250; 13.250; -1.85"
"Апр. '01; 13.500; 13.500; 13.500; 13.500; -11.48"
